rattle,rassel,0.46
deserter,deserteur,-0.56
blubber,geheule,-1.25
garbage,abfall,-1.70
excellence,exzellenz,0.25
crown,krone,1.15
infection,infektion,-2.19
thrill,erschaudern,-1.07
crucify,kreuzigen,-2.21
mountain,berg,0.93
unhappy,unglücklich,-1.86
pillow,kissen,1.65
thorn,dorn,-0.93
gold,gold,1.40
scorn,verachtung,-2.00
whore,hure,-1.30
square,quadrat,0.13
brother,bruder,1.68
context,kontext,0.53
theory,theorie,0.27
butterfly,schmetterling,1.75
disloyal,illoyal,-1.93
cozy,gemütlich,1.82
horse,pferd,1.18
wedding,hochzeit,1.00
termite,termite,-0.56
dreadful,grässlich,-1.87
failure,scheitern,-1.94
detest,hassen,-2.50
stink,krach,-1.40
patent,patent,0.31
refreshment,erfrischung,2.00
paradise,paradies,2.80
employment,anstellung,0.94
fraud,betrug,-2.05
hug,umarmung,1.93
charm,charme,2.30
burial,beerdigung,-2.07
poetry,poesie,1.20
power,kraft,1.38
riot,aufruhr,-0.73
bird,vogel,1.20
industry,industrie,-0.65
afraid,ängstlich,-1.38
freedom,freiheit,2.80
eat,essen,1.56
pollute,verschmutzen,-1.33
toothache,zahnschmerzen,-2.52
morgue,leichenschauhaus,-2.25
green,grün,1.20
rude,unerzogen,-1.33
hospital,krankenhaus,-0.66
cottage,häuschen,1.00
rage,zorn,-1.80
memory,erinnerung,1.41
joy,jubel,2.00
bunny,häschen,1.33
silk,seide,1.65
honor,ehre,0.91
virtue,tugend,1.40
heaven,himmel,2.25
rainbow,regenbogen,2.25
handsome,hübsch,1.81
leprosy,lepra,-2.40
clothing,kleidung,0.60
ugly,hässlich,-1.87
wasp,wespe,-1.20
champion,sieger,1.75
promotion,förderung,1.15
wicked,bösartig,-2.19
scum,abschaum,-2.13
respect,respekt,1.93
poverty,armut,-1.95
violent,gewalttätig,-2.79
trouble,problem,-1.70
family,familie,1.80
victory,sieg,2.20
ambition,ehrgeiz,1.50
salad,salat,1.35
exercise,übung,0.14
prairie,weide,1.25
vampire,vampir,-0.50
village,dorf,1.06
frog,frosch,-0.09
nightmare,alptraum,-2.80
sunrise,morgendämmerung,1.20
sin,sünde,-0.27
bowl,schüssel,0.43
flabby,wabbelig,-1.60
weapon,waffe,-2.35
ulcer,geschwür,-2.13
profit,gewinne,1.34
putrid,verdorben,-1.53
kiss,kuss,2.25
breast,busen,1.85
cheer,stimmung,1.00
lake,see,1.82
waste,verschwendung,-1.40
diamond,diamant,1.70
money,geld,1.60
child,kind,1.80
pride,stolz,0.50
vision,sehkraft,0.60
foul,stinkend,-1.87
debt,schulden,-1.80
anger,ärger,-1.90
caress,liebkosung,1.87
street,straße,0.18
elegant,elegant,1.27
contents,inhalt,0.00
warmth,wärme,2.18
grief,leid,-2.00
hurt,verletzt,-1.80
toxic,giftig,-1.91
agility,beweglichkeit,1.53
door,tür,0.47
quarrel,streit,-2.20
king,könig,0.60
suffocate,ersticken,-1.93
scholar,gelehrter,1.81
brutal,brutal,-2.00
improve,verbessern,0.94
pencil,bleistift,0.50
devil,teufel,-1.95
trophy,trophäe,0.93
dagger,dolch,-1.30
butter,butter,0.60
wine,wein,1.80
adorable,anbetungswürdig,0.40
luxury,luxus,1.70
malaria,malaria,-2.10
army,armee,-2.10
cake,torte,1.60
angel,engel,2.15
annoy,ärgern,-1.22
gentle,zart,1.70
gloom,pessimismus,-1.79
star,stern,1.00
history,geschichte,0.76
useless,nutzlos,-1.33
ink,tinte,0.35
vandal,vandale,-1.07
humor,humor,2.15
betray,verraten,-1.65
learn,lernen,0.80
muscular,muskulös,1.13
war,krieg,-2.90
jealousy,eifersucht,-1.44
knowledge,kenntnis,1.15
hostage,geisel,-2.20
vomit,erbrochenes,-2.27
terrific,genial,2.40
window,fenster,1.14
louse,laus,-1.20
loyal,loyal,2.10
win,gewinnen,1.68
earth,erde,1.90
bomb,bombe,-2.50
vacation,erholung,2.30
snob,snob,-1.40
priest,pfarrer,0.40
excitement,begeisterung,2.33
disaster,desaster,-1.67
puppy,welpe,1.95
savior,retter,2.00
humiliate,demütigen,-1.80
happy,glücklich,1.93
palace,palast,1.70
gift,geschenk,2.30
unfaithful,untreu,-2.00
tumor,tumor,-2.70
syphilis,syphilis,-2.67
ridicule,spott,-1.20
fat,fett,-1.50
cuddle,kuscheln,2.25
malice,bösartigkeit,-2.13
cute,süß,1.67
achievement,erfolg,2.10
time,zeit,0.13
vehicle,fahrzeug,0.38
education,bildung,1.88
opinion,meinung,1.50
cemetery,friedhof,-1.60
treasure,schatz,2.30
hammer,hammer,-0.32
traitor,verräter,-2.13
talent,talent,2.05
mother,mutter,2.05
